Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arkansas,N/A,2012,District 4,4,20120101,"154,149","Cotton, Tom",Challenger,"95,013","Jeffress, Gene",Challenger,Libertarian,"4,984","Tullis, Bobby",Challenger,"4,807","59,136",R,1.92,61.87,38.13,"The other vote was: Drake, Josh (Green) 4,807"
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Colorado,N/A,2014,District 1,1,20120101,"80,682","Walsh, Martin H.",Challenger,"183,281","DeGette, Diana L.",Incumbent,Libertarian,"9,292","Atwood, Frank",Challenger,"5,239","102,599",D,3.34,30.57,69.43,"The other vote was: Stroud, Danny (Independent) 5,236; Kirschler, Daniel (Write-in) 2; Blackburn, Logan (Write-in) 1"
House,Colorado,N/A,2012,District 1,1,20120101,"93,217","Stroud, Danny",Challenger,"237,579","DeGette, Diana L.",Incumbent,Libertarian,"12,585","Atwood, Frank",Challenger,"4,847","144,362",D,3.61,28.18,71.82,"The other vote was: Swing, Gary (Green) 4,829; Juniel, Thomas Henry (Write-in) 18"
House,Colorado,N/A,2014,District 2,2,20120101,"149,645","Leing, George",Challenger,"196,300","Polis, Jared",Incumbent,N/A,N/A,N/A,N/A,N/A,"46,655",D,.00,43.26,56.74,
House,Colorado,N/A,2012,District 2,2,20120101,"162,639","Lundberg, Kevin",Challenger,"234,758","Polis, Jared",Incumbent,Libertarian,"13,770","Luallin, Randy",Challenger,"10,413","72,119",D,3.27,40.93,59.07,"The other vote was: Hall, Susan P. (Green) 10,413"
House,Colorado,N/A,2014,District 3,3,20120101,"163,011","Tipton, Scott",Incumbent,"100,364","Tapia, Abel",Challenger,Independent,"11,294","Casida, Tisha",Challenger,"6,472","62,647",R,4.02,61.89,38.11,"The other vote was: Mero, Travis (Libertarian) 6,472"
House,Colorado,N/A,2012,District 3,3,20120101,"185,291","Tipton, Scott",Incumbent,"142,920","Pace, Sal",Challenger,Unaffiliated,"11,125","Casida, Tisha",Challenger,"8,238","42,371",R,3.20,56.45,43.55,"The other vote was: Gilman, Gregory (Libertarian) 8,212; McMillan, Jaime (Write-in) 26"
House,Colorado,N/A,2014,District 4,4,20120101,"185,292","Buck, Ken",Challenger,"83,727","Meyers, Vic",Challenger,Libertarian,"9,472","Loban, Jess",Challenger,"8,016","101,565",R,3.31,68.88,31.12,"The other vote was: Doherty, Grant (Independent) 8,016"
House,Colorado,N/A,2012,District 4,4,20120101,"200,006","Gardner, Cory",Incumbent,"125,800","Shaffer, Brandon",Challenger,Libertarian,"10,682","Gilliland, Josh",Challenger,"5,848","74,206",R,3.12,61.39,38.61,"The other vote was: Aden, Doug (American Constitution) 5,848"
