Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Virginia,N/A,2014,District 2,2,20120101,"101,558","Rigell, E. Scott",Incumbent,"71,178","Patrick, Suzanne",Challenger,Write-in,324,Write-In,Challenger,N/A,"30,380",R,.19,58.79,41.21,
House,Virginia,N/A,2012,District 2,2,20120101,"166,231","Rigell, E. Scott",Incumbent,"142,548","Hirschbiel, Paul O. Jr.",Challenger,Write-in,443,Scattered Write-In,Challenger,N/A,"23,683",R,.14,53.83,46.17,
House,Virginia,N/A,2014,District 3,3,20120101,N/A,N/A,N/A,"139,197","Scott, Robert C.",Incumbent,Write-in,"8,205",Write-In,Challenger,N/A,"130,992",D,5.57,.00,100.00,
House,Virginia,N/A,2012,District 3,3,20120101,"58,931","Longo, Dean J.",Challenger,"259,199","Scott, Robert C.",Incumbent,Write-in,806,Scattered Write-In,Challenger,N/A,"200,268",D,.25,18.52,81.48,
House,Virginia,N/A,2014,District 4,4,20120101,"120,684","Forbes, J. Randy",Incumbent,"75,270","Fausz, Elliott",Challenger,Libertarian,"4,427","Brown, Bo C.",Challenger,257,"45,414",R,2.21,61.59,38.41,The other vote was: Write-In (Write-in) 257
House,Virginia,N/A,2012,District 4,4,20120101,"199,292","Forbes, J. Randy",Incumbent,"150,190","Ward, Ella P.",Challenger,Write-in,564,Scattered Write-In,Challenger,N/A,"49,102",R,.16,57.02,42.98,
House,Virginia,N/A,2014,District 5,5,20120101,"124,735","Hurt, Robert",Incumbent,"73,482","Gaughan, Walter Lawrence",Challenger,Libertarian,"4,298","Jones, Paul Francis",Challenger,"2,430","51,253",R,2.10,62.93,37.07,"The other vote was: Hildebrandt, Kenneth J. (Green) 2,209; Write-In (Write-in) 221"
House,Virginia,N/A,2012,District 5,5,20120101,"193,009","Hurt, Robert",Incumbent,"149,214","Douglass, John Wade",Challenger,Independent Party,"5,500","Hildebrandt, Kenneth J.",Challenger,388,"43,795",R,1.58,56.40,43.60,The other vote was: Scattered Write-In (Write-in) 388
House,Virginia,N/A,2014,District 6,6,20120101,"133,898","Goodlatte, Robert W.",Incumbent,N/A,N/A,N/A,Libertarian,"22,161","Hammer, Will M.",Challenger,"23,649","111,737",R,12.33,100.00,.00,"The other vote was: Hildebrandt, Elaine B. (Green) 21,447; Write-In (Write-in) 2,202"
House,Virginia,N/A,2012,District 6,6,20120101,"211,278","Goodlatte, Robert W.",Incumbent,"111,949","Schmookler, Andy",Challenger,Write-in,666,Scattered Write-In,Challenger,N/A,"99,329",R,.21,65.37,34.63,
House,Virginia,N/A,2014,District 7,7,20120101,"148,026","Brat, David",Challenger,"89,914","Trammell, John K.",Challenger,Libertarian,"5,086","Carr, James A.",Challenger,325,"58,112",R,2.09,62.21,37.79,The other vote was: Write-In (Write-in) 325
House,Virginia,N/A,2012,District 7,7,20120101,"222,983","Cantor, Eric I.",Incumbent,"158,012","Powell, E. Wayne",Challenger,Write-in,914,Scattered Write-In,Challenger,N/A,"64,971",R,.24,58.53,41.47,
House,Virginia,N/A,2014,District 8,8,20120101,"63,810","Edmond, Micah",Challenger,"128,102","Beyer, Donald S. Jr.",Challenger,Independent,"5,420","Beck, Gwendolyn",Challenger,"5,744","64,292",D,2.67,33.25,66.75,"The other vote was: Carson, Jeffrey S. (Libertarian) 4,409; Blais, Gerrard C. III (Green) 963; Write-In (Write-in) 372"
House,Virginia,N/A,2012,District 8,8,20120101,"107,370","Murray, J. Patrick",Challenger,"226,847","Moran, James P. Jr.",Incumbent,Independent,"10,180","Howell, Jason J.",Challenger,"6,790","119,477",D,2.90,32.13,67.87,"The other vote was: Murphy, Janet (Independent Party) 5,985; Scattered Write-In (Write-in) 805"
House,Virginia,N/A,2014,District 9,9,20120101,"117,465","Griffith, H. Morgan",Incumbent,N/A,N/A,N/A,Independent,"39,412","Carr, William R.",Challenger,"5,938","78,053",R,24.21,100.00,.00,"The other vote was: Write-In (Write-in) 5,938"
House,Virginia,N/A,2012,District 9,9,20120101,"184,882","Griffith, H. Morgan",Incumbent,"116,400","Flaccavento, Anthony J.",Challenger,Write-in,376,Scattered Write-In,Challenger,N/A,"68,482",R,.12,61.37,38.63,
House,Virginia,N/A,2014,District 10,10,20120101,"125,914","Comstock, Barbara",Challenger,"89,957","Foust, John",Challenger,Libertarian,"3,393","Redpath, William B.",Challenger,"3,646","35,957",R,1.52,58.33,41.67,"The other vote was: Eickholt, Brad A. (Independent) 2,442; Blais, Dianne L. (Green) 946; Write-In (Write-in) 258"
House,Virginia,N/A,2012,District 10,10,20120101,"214,038","Wolf, Frank R.",Incumbent,"142,024","Cabral, Kristin A.",Challenger,Independent,"9,855","Chisholm, J. Kevin",Challenger,527,"72,014",R,2.69,60.11,39.89,The other vote was: Scattered Write-In (Write-in) 527
House,Virginia,N/A,2014,District 11,11,20120101,"75,796","Scholte, Suzanne",Challenger,"106,780","Connolly, Gerald E.",Incumbent,Libertarian,"3,246","Harrold, Marc M.",Challenger,"1,965","30,984",D,1.73,41.51,58.49,"The other vote was: Galdo, Joe F. Jr. (Green) 1,739; Write-In (Write-in) 226"
House,Virginia,N/A,2012,District 11,11,20120101,"117,902","Perkins, Chris S.",Challenger,"202,606","Connolly, Gerald E.",Incumbent,Independent,"3,806","Gibson, Mark T.",Challenger,"7,929","84,704",D,1.15,36.79,63.21,"The other vote was: Decarlo, Christopher F. (Independent) 3,027; Galdo, Joe F. Jr. (Green) 2,195; Marchetti, Peter M. (Independent Party) 1,919; Scattered Write-In (Write-in) 788"
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Washington,N/A,2014,District 1,1,20120101,"101,428","Celis, Pedro",Challenger,"124,151","DelBene, Suzan",Incumbent,N/A,N/A,N/A,N/A,N/A,"22,723",D,.00,44.96,55.04,
House,Washington,N/A,2012,District 1,1,20120101,"151,187","Koster, John",Challenger,"177,025","DelBene, Suzan",Incumbent,N/A,N/A,N/A,N/A,N/A,"25,838",D,.00,46.06,53.94,
House,Washington,N/A,2014,District 2,2,20120101,"79,518","Guillot, B.J.",Challenger,"122,173","Larson, Rick",Incumbent,N/A,N/A,N/A,N/A,N/A,"42,655",D,.00,39.43,60.57,
House,Washington,N/A,2012,District 2,2,20120101,"117,465","Matthews, Dan",Challenger,"184,826","Larsen, Rick",Incumbent,N/A,N/A,N/A,N/A,N/A,"67,361",D,.00,38.86,61.14,
House,Washington,N/A,2014,District 3,3,20120101,"124,796","Herrera, Jaime",Incumbent,"78,018","Dingethal, Bob",Challenger,N/A,N/A,N/A,N/A,N/A,"46,778",R,.00,61.53,38.47,
House,Washington,N/A,2012,District 3,3,20120101,"177,446","Beutler, Jaime Herrera",Incumbent,"116,438","Haugen, Jon T.",Challenger,N/A,N/A,N/A,N/A,N/A,"61,008",R,.00,60.38,39.62,
House,Washington,N/A,2014,District 4,4,20120101,"77,772","Newhouse, Dan M.",Challenger,N/A,N/A,N/A,Republican,"75,307","Didier, Clint",Challenger,N/A,"2,465",R,49.19,100.00,.00,
House,Washington,N/A,2012,District 4,4,20120101,"154,749","Hastings, Doc",Incumbent,"78,940","Baechler, Mary",Challenger,N/A,N/A,N/A,N/A,N/A,"75,809",R,.00,66.22,33.78,
House,Washington,N/A,2014,District 5,5,20120101,"135,470","McMorris, Cathy",Incumbent,"87,772","Pakootas, Joseph",Challenger,N/A,N/A,N/A,N/A,N/A,"47,698",R,.00,60.68,39.32,
House,Washington,N/A,2012,District 5,5,20120101,"191,066","Rodgers, Cathy McMorris",Incumbent,"117,512","Cowan, Rich",Challenger,N/A,N/A,N/A,N/A,N/A,"73,554",R,.00,61.92,38.08,
House,Washington,N/A,2014,District 6,6,20120101,"83,025","Mcclendon, Martin",Challenger,"141,265","Kilmer, Derek",Incumbent,N/A,N/A,N/A,N/A,N/A,"58,240",D,.00,37.02,62.98,
House,Washington,N/A,2012,District 6,6,20120101,"129,725","Driscoll, Bill",Challenger,"186,661","Kilmer, Derek",Challenger,N/A,N/A,N/A,N/A,N/A,"56,936",D,.00,41.00,59.00,
House,Washington,N/A,2014,District 7,7,20120101,"47,921","Keller, Craig",Challenger,"203,954","McDermott, James A.",Incumbent,N/A,N/A,N/A,N/A,N/A,"156,033",D,.00,19.03,80.97,
House,Washington,N/A,2012,District 7,7,20120101,"76,212","Bemis, Ron",Challenger,"298,368","McDermott, James A.",Incumbent,N/A,N/A,N/A,N/A,N/A,"222,156",D,.00,20.35,79.65,
House,Washington,N/A,2014,District 8,8,20120101,"125,741","Reichert, David George",Incumbent,"73,003","Ritchie, Jason",Challenger,N/A,N/A,N/A,N/A,N/A,"52,738",R,.00,63.27,36.73,
House,Washington,N/A,2012,District 8,8,20120101,"180,204","Reichert, David George",Incumbent,"121,886","Porterfield, Karen",Challenger,N/A,N/A,N/A,N/A,N/A,"58,318",R,.00,59.65,40.35,
House,Washington,N/A,2014,District 9,9,20120101,"48,662","Basler, Doug",Challenger,"118,132","Smith, Adam",Incumbent,N/A,N/A,N/A,N/A,N/A,"69,470",D,.00,29.17,70.83,
House,Washington,N/A,2012,District 9,9,20120101,"76,105","Postma, James",Challenger,"192,034","Smith, Adam",Incumbent,N/A,N/A,N/A,N/A,N/A,"115,929",D,.00,28.38,71.62,
House,Washington,N/A,2014,District 10,10,20120101,"82,213","McDonald, Joyce",Challenger,"99,279","Heck, Denny",Incumbent,N/A,N/A,N/A,N/A,N/A,"17,066",D,.00,45.30,54.70,
House,Washington,N/A,2012,District 10,10,20120101,"115,381","Muri, Richard",Challenger,"163,036","Heck, Denny",Challenger,N/A,N/A,N/A,N/A,N/A,"47,655",D,.00,41.44,58.56,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,West Virginia,N/A,2014,District 1,1,20120101,"92,491","McKinley, David",Incumbent,"52,109","Gainer, Glen B. III",Challenger,N/A,N/A,N/A,N/A,N/A,"40,382",R,.00,63.96,36.04,
House,West Virginia,N/A,2012,District 1,1,20120101,"133,809","McKinley, David",Incumbent,"80,342","Thorn, Sue",Challenger,N/A,N/A,N/A,N/A,N/A,"53,467",R,.00,62.48,37.52,
House,West Virginia,N/A,2014,District 2,2,20120101,"72,619","Mooney, Alex X.",Challenger,"67,687","Casey, Nick",Challenger,Libertarian,"7,682","Jones, Davy",Challenger,"6,250","4,932",R,4.98,51.76,48.24,"The other vote was: Rabel, Edward (Independent) 6,250"
House,West Virginia,N/A,2012,District 2,2,20120101,"158,206","Capito, Shelley Moore",Incumbent,"68,560","Swint, Howard",Challenger,N/A,N/A,N/A,N/A,N/A,"89,646",R,.00,69.77,30.23,
House,West Virginia,N/A,2014,District 3,3,20120101,"77,713","Jenkins, Evan",Challenger,"62,688","Rahall, Nick J. II",Incumbent,N/A,N/A,N/A,N/A,N/A,"15,025",R,.00,55.35,44.65,
House,West Virginia,N/A,2012,District 3,3,20120101,"92,238","Snuffer, Rick",Challenger,"108,199","Rahall, Nick J. II",Incumbent,N/A,N/A,N/A,N/A,N/A,"15,961",D,.00,46.02,53.98,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Wisconsin,N/A,2014,District 1,1,20120101,"182,316","Ryan, Paul D.",Incumbent,"105,552","Zerban, Rob",Challenger,No Party,273,Scattering,Challenger,29,"76,764",R,.09,63.33,36.67,The other vote was: Write-Ins (Write-in) 29
House,Wisconsin,N/A,2012,District 1,1,20120101,"200,423","Ryan, Paul D.",Incumbent,"158,414","Zebran, Rob",Challenger,Libertarian,"6,054","Deschler, Keith",Challenger,167,"42,009",R,1.66,55.85,44.15,The other vote was: Scattered Write-In (Write-in) 167
House,Wisconsin,N/A,2014,District 2,2,20120101,"103,619","Theron, Peter",Challenger,"224,920","Pocan, Mark",Incumbent,No Party,308,Scattering,Challenger,N/A,"121,301",D,.09,31.54,68.46,
House,Wisconsin,N/A,2012,District 2,2,20120101,"124,683","Lee, Chad",Challenger,"265,422","Pocan, Mark",Challenger,Write-in,787,Scattered Write-In,Challenger,6,"140,739",D,.20,31.96,68.04,"The other vote was: Kopsick, Joe (Write-in) 6"
House,Wisconsin,N/A,2014,District 3,3,20120101,"119,540","Kurtz, Tony",Challenger,"155,368","Kind, Ron",Incumbent,Write-in,128,Write-Ins,Challenger,125,"35,828",D,.05,43.48,56.52,The other vote was: Scattering (No Party) 125
House,Wisconsin,N/A,2012,District 3,3,20120101,"121,713","Boland, Ray",Challenger,"217,712","Kind, Ron",Incumbent,Write-in,339,Scattered Write-In,Challenger,N/A,"95,999",D,.10,35.86,64.14,
House,Wisconsin,N/A,2014,District 4,4,20120101,"68,490","Sebring, Dan",Challenger,"179,045","Moore, Gwendolynne S.",Incumbent,Independent,"7,002","Raymond, Robert R.",Challenger,355,"110,555",D,2.75,27.67,72.33,The other vote was: Scattering (No Party) 355
House,Wisconsin,N/A,2012,District 4,4,20120101,"80,787","Sebring, Dan",Challenger,"235,257","Moore, Gwendolynne S.",Challenger,Independent,"9,277","Raymond, Robert R.",Challenger,467,"154,470",D,2.85,25.56,74.44,The other vote was: Scattered Write-In (Write-in) 467
House,Wisconsin,N/A,2014,District 5,5,20120101,"231,160","Sensenbrenner, F. James Jr.",Incumbent,"101,190","Rockwood, Chris B.",Challenger,No Party,476,Scattering,Challenger,N/A,"129,970",R,.14,69.55,30.45,
House,Wisconsin,N/A,2012,District 5,5,20120101,"250,335","Sensenbrenner, F. James Jr.",Incumbent,"118,478","Heaster, Dave",Challenger,Write-in,851,Scattered Write-In,Challenger,N/A,"131,857",R,.23,67.88,32.12,
House,Wisconsin,N/A,2014,District 6,6,20120101,"169,767","Grothman, Glenn S.",Challenger,"122,212","Harris, Mark L.",Challenger,Libertarian,"6,865","Fahrendorf, Gus",Challenger,189,"47,555",R,2.30,58.14,41.86,The other vote was: Scattering (No Party) 189
House,Wisconsin,N/A,2012,District 6,6,20120101,"223,460","Petri, Thomas E.",Incumbent,"135,921","Kallas, Joseph C.",Challenger,Write-in,364,Scattered Write-In,Challenger,N/A,"87,539",R,.10,62.18,37.82,
House,Wisconsin,N/A,2014,District 7,7,20120101,"169,891","Duffy, Sean",Incumbent,"112,949","Westlund, Kelly",Challenger,Independent,"3,686","Dale, Lawrence",Challenger,77,"56,942",R,1.29,60.07,39.93,The other vote was: Scattering (No Party) 42; Write-Ins (Write-in) 35
House,Wisconsin,N/A,2012,District 7,7,20120101,"201,720","Duffy, Sean",Incumbent,"157,524","Kreitlow, Pat",Challenger,Write-in,405,Scattered Write-In,Challenger,20,"44,196",R,.11,56.15,43.85,"The other vote was: Lehner, Dale C. (Independent) 20"
House,Wisconsin,N/A,2014,District 8,8,20120101,"188,553","Ribble, Reid J.",Incumbent,"101,345","Gruett, Ron",Challenger,No Party,150,Scattering,Challenger,N/A,"87,208",R,.05,65.04,34.96,
House,Wisconsin,N/A,2012,District 8,8,20120101,"198,874","Ribble, Reid J.",Incumbent,"156,287","Wall, Jamie",Challenger,Write-in,303,Scattered Write-In,Challenger,N/A,"42,587",R,.09,56.00,44.00,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Wyoming,N/A,2014,At Large,1,N/A,"113,038","Lummis, Cynthia M.",Incumbent,"37,803","Grayson, Richard",Challenger,Libertarian,"7,112","Brubaker, Richard",Challenger,"13,200","75,235",R,4.16,74.94,25.06,"The other vote was: Cummings, Daniel Clyde (Constitution) 6,749; Under Votes (No Party) 5,683; Write-Ins (Write-in) 398; Over Votes (No Party) 370"
House,Wyoming,N/A,2012,At Large,1,N/A,"166,452","Lummis, Cynthia M.",Incumbent,"57,573","Henrichsen, Chris",Challenger,Libertarian,"8,442","Brubaker, Richard",Challenger,"9,154","108,879",R,3.49,74.30,25.70,"The other vote was: Cummings, Daniel Clyde (Constitution) 4,963; Wills, Don (Country) 3,775; Scattered Write-In (Write-in) 416"
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alabama,N/A,2010,District 1,1,20020101,"129,063","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"27,218","129,063",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 1,1,20020101,"210,660","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,707","210,660",R,.00,100.00,.00,
House,Alabama,N/A,2006,District 1,1,20020101,"112,944","Bonner, Josiah Robbins Jr.",Incumbent,"52,770","Beckerle, Vivian Sheffield",Challenger,N/A,N/A,N/A,N/A,127,"60,174",R,.00,68.16,31.84,
House,Alabama,N/A,2004,District 1,1,20020101,"161,067","Bonner, Josiah Robbins Jr.",Incumbent,"93,938","Belk, Judy Mccain",Challenger,Write-in,159,"Other/Unknown, NULL",Challenger,N/A,"67,129",R,.06,63.16,36.84,
House,Alabama,N/A,2002,District 1,1,20020101,"108,102","Bonner, Josiah Robbins Jr.",Challenger,"67,507","Belk, Judy Mccain",Challenger,N/A,N/A,N/A,N/A,"3,078","40,595",R,.00,61.56,38.44,
House,Alabama,N/A,2010,District 2,2,20020101,"111,645","Roby, Martha",Challenger,"106,865","Bright, Bobby",Incumbent,N/A,N/A,N/A,N/A,518,"4,780",R,.00,51.09,48.91,
House,Alabama,N/A,2008,District 2,2,20020101,"142,578","Love, Jay",Challenger,"144,368","Bright, Bobby",Challenger,N/A,N/A,N/A,N/A,448,"1,790",D,.00,49.69,50.31,
House,Alabama,N/A,2006,District 2,2,20020101,"124,302","Everett, Terry",Incumbent,"54,450","James, Charles Dean",Challenger,N/A,N/A,N/A,N/A,167,"69,852",R,.00,69.54,30.46,
House,Alabama,N/A,2004,District 2,2,20020101,"177,086","Everett, Terry",Incumbent,"70,562","James, Charles Dean",Challenger,Write-in,299,"Other/Unknown, NULL",Challenger,N/A,"106,524",R,.12,71.51,28.49,
House,Alabama,N/A,2002,District 2,2,20020101,"129,233","Everett, Terry",Incumbent,"55,495","Woods, Charles",Challenger,N/A,N/A,N/A,N/A,"3,237","73,738",R,.00,69.96,30.04,
House,Alabama,N/A,2010,District 3,3,20020101,"117,736","Rogers, Mike D.",Incumbent,"80,204","Segrest, Steve",Challenger,N/A,N/A,N/A,N/A,199,"37,532",R,.00,59.48,40.52,
House,Alabama,N/A,2008,District 3,3,20020101,"142,708","Rogers, Mike D.",Incumbent,"121,080","Segall, Joshua",Challenger,N/A,N/A,N/A,N/A,332,"21,628",R,.00,54.10,45.90,
House,Alabama,N/A,2006,District 3,3,20020101,"98,257","Rogers, Mike D.",Incumbent,"63,559","Pierce, Greg A.",Challenger,N/A,N/A,N/A,N/A,"3,485","34,698",R,.00,60.72,39.28,
House,Alabama,N/A,2004,District 3,3,20020101,"150,411","Rogers, Mike D.",Incumbent,"95,240","Fuller, William",Challenger,Write-in,133,"Other/Unknown, NULL",Challenger,N/A,"55,171",R,.05,61.23,38.77,
House,Alabama,N/A,2002,District 3,3,20020101,"91,169","Rogers, Mike D.",Challenger,"87,351","Turnham, Joe",Challenger,N/A,N/A,N/A,N/A,"2,703","3,818",R,.00,51.07,48.93,
House,Alabama,N/A,2010,District 4,4,20020101,"167,714","Aderholt, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,007","167,714",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 4,4,20020101,"196,741","Aderholt, Robert",Incumbent,"66,077","Sparks, Nicholas B.",Challenger,N/A,N/A,N/A,N/A,349,"130,664",R,.00,74.86,25.14,
House,Alabama,N/A,2006,District 4,4,20020101,"128,484","Aderholt, Robert",Incumbent,"54,382","Bobo, Barbara",Challenger,N/A,N/A,N/A,N/A,206,"74,102",R,.00,70.26,29.74,
House,Alabama,N/A,2004,District 4,4,20020101,"191,110","Aderholt, Robert",Incumbent,"64,278","Cole, Carl A.",Challenger,Write-in,336,"Other/Unknown, NULL",Challenger,N/A,"126,832",R,.13,74.83,25.17,
House,Alabama,N/A,2002,District 4,4,20020101,"139,705","Aderholt, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"21,396","139,705",R,.00,100.00,.00,
House,Alabama,N/A,2010,District 5,5,20020101,"131,109","Brooks, Mo",Challenger,"95,192","Raby, Steve",Challenger,N/A,N/A,N/A,N/A,189,"35,917",R,.00,57.94,42.06,
House,Alabama,N/A,2008,District 5,5,20020101,"147,314","Parker, Wayne",Challenger,"158,324","Griffith, Parker",Challenger,N/A,N/A,N/A,N/A,"1,644","11,010",D,.00,48.20,51.80,
House,Alabama,N/A,2006,District 5,5,20020101,N/A,N/A,N/A,"143,015","Cramer, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"2,540","143,015",D,.00,.00,100.00,
House,Alabama,N/A,2004,District 5,5,20020101,"74,145","Wallace, Gerald C.",Challenger,"200,999","Cramer, Robert E.",Incumbent,Write-in,315,"Other/Unknown, NULL",Challenger,N/A,"126,854",D,.11,26.95,73.05,
House,Alabama,N/A,2002,District 5,5,20020101,"48,226","Engel, Stephen P.",Challenger,"143,029","Cramer, Robert E.",Challenger,N/A,N/A,N/A,N/A,"3,916","94,803",D,.00,25.22,74.78,
House,Alabama,N/A,2010,District 6,6,20020101,"205,288","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,076","205,288",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 6,6,20020101,"280,902","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,335","280,902",R,.00,100.00,.00,
House,Alabama,N/A,2006,District 6,6,20020101,"163,514","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,786","163,514",R,.00,100.00,.00,
House,Alabama,N/A,2004,District 6,6,20020101,"264,819","Bachus, Spencer",Incumbent,N/A,N/A,N/A,Write-in,"3,224","Other/Unknown, NULL",Challenger,N/A,"261,595",R,1.20,100.00,.00,
House,Alabama,N/A,2002,District 6,6,20020101,"178,171","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"20,175","178,171",R,.00,100.00,.00,
House,Alabama,N/A,2010,District 7,7,20020101,"51,890","Chamberlain, Don",Challenger,"136,696","Sewell, Terri A.",Challenger,N/A,N/A,N/A,N/A,138,"84,806",D,.00,27.52,72.48,
House,Alabama,N/A,2008,District 7,7,20020101,N/A,N/A,N/A,"228,518","Davis, Artur",Incumbent,N/A,N/A,N/A,N/A,"3,183","228,518",D,.00,.00,100.00,
House,Alabama,N/A,2006,District 7,7,20020101,N/A,N/A,N/A,"133,870","Davis, Artur",Incumbent,N/A,N/A,N/A,N/A,"1,294","133,870",D,.00,.00,100.00,
House,Alabama,N/A,2004,District 7,7,20020101,"61,019","Cameron, Steve F.",Challenger,"183,408","Davis, Artur",Incumbent,American Labor,211,"Other/Unknown, NULL",Challenger,N/A,"122,389",D,.09,24.96,75.04,
House,Alabama,N/A,2002,District 7,7,20020101,N/A,N/A,N/A,"153,735","Davis, Artur",Challenger,N/A,N/A,N/A,N/A,"12,574","153,735",D,.00,.00,100.00,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alaska,N/A,2010,At Large,1,N/A,"175,384","Young, Don",Incumbent,"77,606","Crawford, Harry T.",Challenger,N/A,N/A,N/A,N/A,"1,345","97,778",R,.00,69.32,30.68,
House,Alaska,N/A,2008,At Large,1,N/A,"158,939","Young, Don",Incumbent,"142,560","Berkowitz, Ethan A.",Challenger,N/A,N/A,N/A,N/A,"15,479","16,379",R,.00,52.72,47.28,
House,Alaska,N/A,2006,At Large,1,N/A,"132,743","Young, Don",Incumbent,"93,879","Benson, Diane E.",Challenger,N/A,N/A,N/A,N/A,"8,023","38,864",R,.00,58.57,41.43,
House,Alaska,N/A,2004,At Large,1,N/A,"213,216","Young, Don",Incumbent,"67,074","Higgins, Thomas M.",Challenger,Write-in,"19,706","Other/Unknown, NULL",Challenger,N/A,"146,142",R,6.57,76.07,23.93,
House,Alaska,N/A,2002,At Large,1,N/A,"169,685","Young, Don",Incumbent,"39,357","Greene, Clifford",Challenger,N/A,N/A,N/A,N/A,"18,683","130,328",R,.00,81.17,18.83,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arkansas,N/A,2010,District 1,1,20020101,"93,224","Crawford, Rick",Challenger,"78,267","Causey, Chad",Challenger,N/A,N/A,N/A,N/A,"8,525","14,957",R,.00,54.36,45.64,
House,Arkansas,N/A,2008,District 1,1,20020101,N/A,N/A,N/A,Unopposed,"Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,.00,.00,100.00,
House,Arkansas,N/A,2006,District 1,1,20020101,"56,611","Stumbaugh, Mickey",Challenger,"127,577","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"70,966",D,.00,30.74,69.26,
House,Arkansas,N/A,2004,District 1,1,20020101,"81,556","Humphrey, Vernon W.",Challenger,"162,388","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"80,832",D,.00,33.43,66.57,
House,Arkansas,N/A,2002,District 1,1,20020101,"64,357","Robinson, Tommy F.",Challenger,"129,701","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"65,344",D,.00,33.16,66.84,
House,Arkansas,N/A,2010,District 2,2,20020101,"122,091","Griffin, Tim",Challenger,"80,687","Elliott, Joyce",Challenger,N/A,N/A,N/A,N/A,"8,074","41,404",R,.00,60.21,39.79,
House,Arkansas,N/A,2008,District 2,2,20020101,N/A,N/A,N/A,"212,303","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,"65,063","212,303",D,.00,.00,100.00,
